"","indicator","name"
"83","BM.GSR.TRVL.CD","Travel services, imports (BoP, current US$)"
"84","BM.GSR.TRAN.ZS","Transport services (% of service imports, BoP)"
"85","BM.GSR.TRAN.CD","Transport services, imports (BoP, current US$)"
"86","BM.GSR.TOTL.CD","Imports of goods, services and primary income (BoP, current US$)"
"87","BM.GSR.ROYL.CD","Charges for the use of intellectual property, payments (BoP, current US$)"
"88","BM.GSR.OSRV.CD","Other services, imports (BoP, US$)"
"89","BM.GSR.NFSV.CD","Service imports (BoP, current US$)"
"90","BM.GSR.MRCH.ZS","Merchandise imports (BOP): percentage of GDP (%)"
"91","BM.GSR.MRCH.CD","Goods imports (BoP, current US$)"
"92","BM.GSR.INSU.CD","Insurance services, imports (BoP, current US$)"
"93","BM.GSR.INSF.ZS","Insurance and financial services (% of service imports, BoP)"
"94","BM.GSR.GNFS.CD","Imports of goods and services (BoP, current US$)"
"95","BM.GSR.FXAI.CD","Other income payments (BoP, current US$)"
"96","BM.GSR.FINS.CD","Financial services, imports (BoP, current US$)"
"97","BM.GSR.FCTY.CD","Primary income payments (BoP, current US$)"
"98","BM.GSR.COMM.CD","Communications services, imports (BoP, current US$)"
"99","BM.GSR.CMCP.ZS","Communications, computer, etc. (% of service imports, BoP)"
