代码,简称,截至日期,家数,本期持股数(万股),持股占已流通A股比例(%),同上期增减(万股),持股比例(%),上期家数,明细
603505,金石资源,2020-06-30,1,164.5652,0.69,-271.9288,1.82,2,+展开明细
603727,博迈科,2020-06-30,1,166.4593,0.71,-225.3436,1.67,2,+展开明细
603538,美诺华,2020-06-30,1,218.8249,1.46,218.8249,0.0,0,+展开明细
300639,凯普生物,2020-06-30,2,750.0341,3.53,264.3686,2.29,3,+展开明细
688158,优刻得,2020-06-30,4,686.7408,1.63,-120.314,1.91,5,+展开明细
300686,智动力,2020-06-30,2,274.6405,1.34,63.4896,1.03,1,+展开明细
300570,太辰光,2020-06-30,2,878.7255,3.82,-46.9168,4.02,2,+展开明细
300615,欣天科技,2020-06-30,1,46.64,0.25,-231.0831,1.46,3,+展开明细
300598,诚迈科技,2020-06-30,2,455.9376,4.38,222.4014,2.92,1,+展开明细
2971,和远气体,2020-06-30,4,239.018,1.49,239.018,0.0,0,+展开明细
603187,海容冷链,2020-06-30,2,783.783,4.95,783.783,0.0,0,+展开明细
300575,中旗股份,2020-06-30,4,1015.8635,7.36,-221.514,9.37,5,+展开明细
605168,三人行,2020-06-30,2,95.4391,1.38,95.4391,0.0,0,+展开明细
603507,振江股份,2020-06-30,2,885.7574,6.92,58.5221,6.46,2,+展开明细
2982,湘佳股份,2020-06-30,7,461.0052,4.53,461.0052,0.0,0,+展开明细
2847,盐津铺子,2020-06-30,2,168.13,1.3,-167.2175,2.61,3,+展开明细
300807,天迈科技,2020-06-30,1,23.35,0.34,23.35,0.0,0,+展开明细
603179,新泉股份,2020-06-30,4,2659.9748,8.6,1042.3884,7.15,4,+展开明细
603229,奥翔药业,2020-06-30,3,1028.5596,4.59,207.798,5.13,4,+展开明细
2887,绿茵生态,2020-06-30,4,361.617,1.16,-235.6294,2.87,5,+展开明细
300638,广和通,2020-06-30,3,406.2025,1.68,35.2919,2.76,5,+展开明细
2933,新兴装备,2020-06-30,2,141.7258,1.21,18.1213,1.05,2,+展开明细
300685,艾德生物,2020-06-30,2,584.6561,2.63,584.6561,0.0,0,+展开明细
603283,赛腾股份,2020-06-30,4,295.5282,1.68,249.4382,0.26,1,+展开明细
603305,旭升股份,2020-06-30,4,232.0484,0.52,-334.608,1.37,4,+展开明细
688020,方邦股份,2020-06-30,7,176.755,2.21,1.6872,2.19,5,+展开明细
603353,和顺石油,2020-06-30,6,627.4644,4.7,627.4644,0.0,0,+展开明细
603713,密尔克卫,2020-06-30,3,538.1536,3.48,197.0323,2.2,2,+展开明细
603429,集友股份,2020-06-30,1,382.9523,1.01,382.9523,0.0,0,+展开明细
300751,迈为股份,2020-06-30,4,240.2131,4.62,22.3031,4.19,3,+展开明细
688298,东方生物,2020-06-30,5,170.5217,1.42,170.5217,0.0,0,+展开明细
2947,恒铭达,2020-06-30,3,431.7051,3.55,352.4395,0.65,1,+展开明细
688389,普门科技,2020-06-30,6,812.5412,1.92,792.6878,0.05,1,+展开明细
688200,华峰测控,2020-06-30,4,231.8655,3.79,73.4188,2.59,5,+展开明细
688018,乐鑫科技,2020-06-30,6,238.0849,2.98,-39.7561,3.47,6,+展开明细
688002,睿创微纳,2020-06-30,7,539.7308,1.21,223.3296,0.71,6,+展开明细
