,时间,人均消费,可支配收入
0,1989,913,1050
1,1990,982,1155
2,1991,1200,1305
3,1992,1346,1504
4,1993,1563,1902
5,1994,2111,2503
6,1995,2482,2846
7,1996,2768,3446
8,1997,3032,3945
9,1998,3106,4353
10,1999,3469,4771
11,2000,3928,5129
12,2001,4196,5536
13,2002,4860,6051
