"ORDER_ID","GOODS_ID","GOODS_NAME","UNIT_PRICE","QUANTITY","RETURN_QTY"
"1108979","2031","雪碧清爽柠檬味汽水500ml","3.00","1","0"
"1108989","19530","王致和精致料酒500ml","7.00","1","0"
"1108989","17981","塑料夹子一板20个","3.50","1","0"
"1108989","5336","鹃城牌红油豆瓣酱1.2kg","14.00","1","0"
"1108989","5324","达恒毛嫩肉粉200g","4.00","1","0"
"1108989","6363","前尚马桶刷","7.00","1","0"
"1108995","6021","代跑腿服务（蓝娇）","13.00","1","0"
"1108995","18126","芬达橙味汽水330ml（新）","2.50","2","0"
"1109003","3405","伊利每益添活性乳酸菌原味酸奶饮料350ml","7.00","1","0"
"1109003","13521","雪碧清爽柠檬味汽水2L","7.00","1","0"
"1109019","2165","康师傅老坛酸菜牛肉面桶装121g","4.00","1","0"
"1109019","6026","代跑腿服务（爱喜薄荷）","10.00","1","0"
"1109020","6269","代跑腿服务（娇子格调黑）","15.00","1","0"
"1109022","5011","旺仔小馒头16g","1.00","2","0"
"1109022","6779","云南白药创可贴1片","0.50","2","0"
"1109022","12369","金磨坊鱼豆腐麻辣味22g","1.00","3","0"
"1109022","17449","奇胜YY波子汽水味棒棒糖9g","0.50","2","0"
"1109022","4470","保宁醋酿造食醋特级440ml","7.50","1","0"
"1109022","4506","久大加碘精纯盐350g","2.00","1","0"
"1109023","4965","百事可乐2L","6.50","1","0"
"1109023","4717","雀巢1+2速溶咖啡原味条装15g","1.50","1","0"
"1109030","4085","鱼泉鲜香榨菜鲜香原味70g","2.00","1","0"
"1109030","4512","美好火腿肠优级120g","3.50","1","0"
"1109031","6271","代跑腿服务（宽窄）","30.00","1","0"
"1109059","2312","老灶煮花生138g","4.00","3","0"
"1109059","5521","伊利尚补坊红枣酸奶160g","3.50","1","0"
"1109060","4508","莎麦鸡精100g","4.00","1","0"
"1109060","16704","可口可乐汽水888ml","4.50","1","0"
"1109060","4271","怡宝矿泉水纯净水瓶装1.5L","3.00","1","0"
"1109064","2891","果珍速溶冲饮阳光甜橙味400g","15.00","1","0"
"1109064","9226","香飘飘雪糯椰浆奶茶82g","5.00","2","0"
"1109067","3838","好丽友派蛋卷芯饼巧克力味68g","4.50","1","0"
"1109067","19970","sweet大球棒糖25g","1.50","6","0"
"1109067","20771","巧大娘巧乐鱿鱼麻辣味小吃15g","1.50","1","0"
"1109075","18333","可口可乐罐装（新）330ml","2.50","1","0"
"1109075","3354","东莱卤鸡蛋30g","1.50","1","0"
"1109075","6269","代跑腿服务（娇子格调黑）","15.00","1","0"
"1109075","20573","丽朗竹炭护龈牙刷（竹炭软毛）","3.00","1","0"
"1109084","6021","代跑腿服务（蓝娇）","13.00","2","0"
"1109084","2811","张君雅小妹妹五香海苔休闲丸子80g","7.00","1","0"
"1109084","2870","MM's 牛奶巧克力豆40g","5.00","1","0"
"1109084","3025","旺仔牛奶糖18g","1.00","1","0"
"1109085","2848","好巴食豆腐干五香味95g","3.50","1","0"
"1109085","2092","旺旺小小酥原味60g","3.00","1","0"
"1109085","2851","金大洲香辣金针菇42g","3.00","1","0"
"1109085","3933","甘源牌蟹黄味瓜子仁75g","3.50","1","0"
"1109085","12304","双汇香辣香脆肠35g","1.50","2","0"
"1109085","3333","百世兴酒鬼花生休闲食品130g","5.00","1","0"
"1109085","5877","【桃李】蔓越莓核桃面包120g","5.50","1","0"
"1109085","3073","有友猪皮晶山椒味泡椒味60g","3.00","2","0"
"1109085","11341","【桃李】口袋三明治面包草莓酱95g","4.00","1","0"
"1109085","5872","【桃李】鸡蛋香松包120g","4.00","1","0"
"1109089","4948","美年达橙味汽水600ml","2.38","1","0"
"1109089","16704","可口可乐汽水888ml","4.50","1","0"
"1109097","2186","康师傅香辣牛肉面袋装107g","2.50","1","0"
"1109097","4511","美好火腿肠30g","1.00","2","0"
"1109097","2163","康师傅辣卤香牛肉面袋装101g","2.50","1","0"
"1109097","6028","代跑腿服务（软云）","23.00","1","0"
"1109097","6377","代跑腿服务（红双喜）","10.00","1","0"
"1109104","2933","苏菲口袋魔法棉柔日用超薄森呼吸卫生巾/姨妈巾9片装","8.50","1","0"
"1109104","2931","七度空间优雅系列空气感绵面夜用卫生巾75mm5片装","5.00","1","0"
"1109104","9226","香飘飘雪糯椰浆奶茶82g","5.00","1","0"
"1109107","4271","怡宝矿泉水纯净水瓶装1.5L","3.00","1","0"
"1109107","7236","劲仔小鱼卤香味12g","1.00","1","0"
"1109107","7095","牛羊配五香辣味45g","1.50","1","0"
"1109107","2039","有友牛皮晶香辣味70g","3.80","1","0"
"1109107","21199","家能连山大刀肉6g","0.25","3","0"
"1109113","4901","哈尔滨啤酒冰纯ICE瓶装500ml","4.00","1","0"
"1109115","11420","【桃李】枣沙蛋糕100g","3.50","1","0"
"1109115","6779","云南白药创可贴1片","0.50","7","0"
"1109117","5846","荷氏维果C水果硬糖西柚味34g","2.50","1","0"
"1109117","18753","代跑腿服务（南京）","12.00","1","0"
"1109117","5847","荷氏维果C水果硬糖青柠味34g","2.50","2","0"
"1109117","5010","真知棒棒棒糖什锦水果味9.2g","0.50","6","0"
"1109117","5009","绿箭口香糖薄荷味15g","1.50","1","0"
"1109122","13467","cp泡泡贴猪猪图样sticker1张","2.50","1","0"
"1109128","5483","永吉红包囍字","0.50","3","0"
"1109131","5076","俊康小磨香油调和型338ml","10.50","1","0"
"1109131","4543","久大盐350g","2.00","1","0"
"1109131","6006","爱选多晶冰糖袋装280g","5.00","1","0"
"1109131","5871","【桃李】轻乳酪蒸蛋糕90g","4.00","1","0"
"1109132","2097","喜之郎葡萄&苹果果肉果冻200g","2.80","2","0"
"1109132","2111","伊利优酸乳蓝莓味250ml","1.00","5","0"
"1109138","2104","洽洽香瓜子200g","6.00","1","0"
"1109138","5027","雪碧柠檬味汽水330ml","2.50","1","0"
