Ranking,University Name,Country/Region,Academic Reputation,Employer Reputation,Faculty Student,International Faculty,International Students,Citations per Faculty,Overall Score,Free
238,皇家墨尔本理工大学Royal Melbourne Institute of Technology University,Australia,37.1,63.1,12.3,100,93.2,29.2,39.2,免费评估
239,马斯特里赫特大学Maastricht University,Netherland,22.1,22.1,24.6,97.4,100,65.1,39.0,免费评估
239,莱斯特大学University of Leicester,United Kin,24.6,18.5,44.5,83.1,89.1,48.5,39.0,免费评估
239,皇后大学Queen's University at Kingston,Canada,36.2,69.9,8.7,72.8,25.4,53.5,39.0,免费评估
242,巴黎政治学院Sciences Po,France,22.3,32.6,89.1,56,99.2,5.1,38.9,免费评估
243,波恩大学Rheinische Friedrich-Wilhelms-Universit?t Bonn,Germany,49.6,16.7,46.6,40.9,26.4,22.3,38.8,免费评估
244,贝鲁特美国大学American University of Beirut (AUB),Lebanon,24.6,52.9,63.1,90.2,64.6,15.2,38.7,免费评估
245,纳瓦拉大学University of Navarra,Spain,31.0,75.1,44.1,21.6,68.1,25.8,38.5,免费评估
246,萨塞克斯大学University of Sussex,United Kin,28.7,11.0,29.3,96.9,95.6,51.2,38.4,免费评估
247,朱拉隆功大学Chulalongkorn University,Thailand,62.4,56.5,25.6,11.5,2.5,8.5,38.3,免费评估
247,庆熙大学Kyung Hee University,South Kore,27.1,32.4,87.8,15.2,41.1,18.4,38.3,免费评估
249,巴黎高科国立高等电信学校TELECOM ParisTech,France,4.7,43.2,95.1,95,99.7,15.8,38.2,免费评估
250,国立桥路学校Ecole des Ponts ParisTech,France,8.7,53.9,92.1,27.1,99.7,20.2,37.8,免费评估
251,国立台湾科技大学National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,24.4,30.6,64.2,24.3,36.7,43.6,37.6,免费评估
251,布鲁塞尔自由大学Universite libre de Bruxelles,Belgium,33.8,58.6,11.0,71.3,95.5,38.0,37.6,免费评估
253,塔夫斯大学Tufts University,United Sta,20.2,9.8,78.9,29.4,38.5,45.7,37.5,免费评估
253,巴黎大学University of Paris,France,48.5,7.6,33.5,19.1,7.5,46.1,37.5,免费评估
253,哥伦比亚国立大学Universidad Nacional de Colombia,Colombia,61.5,89.7,11.1,8.3,1.3,5.3,37.5,免费评估
256,哥德堡大学University of Gothenburg,Sweden,37.7,12.2,57.1,43.7,17.6,32.0,37.3,免费评估
257,以色列理工学院Technion - Israel Institute of Technology,Israel,28.4,34.7,24.6,64,3.8,69.5,37.2,免费评估
257,武汉大学Wuhan University,China,38.0,51.3,21.7,50.7,10.7,46.5,37.2,免费评估
259,爱尔兰国立高威大学National University of Ireland Galway,Ireland,22.4,24.4,73.7,90.9,61.1,16.1,37.1,免费评估
260,达姆施塔特工业大学Technische Universit?t Darmstadt,Germany,20.0,71.1,6.5,51.9,65,72.9,37.0,免费评估
261,香港浸会大学Hong Kong Baptist University,Hong Kong,18.6,15.4,41.5,99.9,90.4,49.8,36.9,免费评估
262,巴黎第十一大学Université Paris-Sud,France,27.1,13.0,80.4,42.9,40.3,21.3,36.8,免费评估
262,罗格斯大学（新泽西州立大学）新布郎斯维克分校Rutgers University–New Brunswick,United Sta,39.4,32.0,49.3,27.1,36.6,23.3,36.8,免费评估
262,亚利桑那大学The University of Arizona,United Sta,41.9,20.1,37.6,21.7,17.5,41.9,36.8,免费评估
265,同济大学Tongji University,China,32.2,9.6,26.2,89.1,27.9,58.4,36.7,免费评估
266,怀卡托大学University of Waikato,New Zealan,19.7,17.8,14.9,97.8,78.3,75.3,36.6,免费评估
266,因斯布鲁克大学Universit?t Innsbruck,Austria,20.4,19.9,66.1,98.4,99.3,16.0,36.6,免费评估
268,托木斯克国立大学Tomsk State University,Russia,20.5,17.3,99.8,23.4,88.9,4.5,36.5,免费评估
268,哈立法大学Khalifa University,United Ara,9.3,9.7,77.3,100,55.6,42.2,36.5,免费评估
270,筑波大学University of Tsukuba,Japan,35.0,13.1,70.3,16,30.4,22.3,36.3,免费评估
271,迪肯大学Deakin University,Australia,30.1,44.2,6.4,97.1,77,47.6,36.1,免费评估
271,迈阿密大学University of Miami,United Sta,22.2,23.8,62.7,7.6,39.4,49.2,36.1,免费评估
271,印度理工学院马德拉斯校区Indian Institute of Technology Madras (IITM),India,35.3,47.3,28.0,3.4,1.6,56.4,36.1,免费评估
274,萨里大学University of Surrey,United Kin,22.5,29.3,25.4,96.6,97,45.3,35.9,免费评估
274,南澳大学University of South Australia,Australia,25.1,19.9,27.5,100,58.2,51.9,35.9,免费评估
276,卡塔尔大学Qatar University,Qatar,16.9,28.3,66.4,100,98.3,14.3,35.8,免费评估
277,北京师范大学Beijing Normal University,China,39.0,12.3,31.2,23.6,31.4,48.6,35.7,免费评估
277,哈尔滨工业大学Harbin Institute of Technology,China,21.8,7.3,52.6,10.8,10,72.9,35.7,免费评估
279,斯图加特大学Universit?t Stuttgart,Germany,26.0,55.0,8.2,34.2,61.2,65.9,35.6,免费评估
280,戴尔豪斯大学Dalhousie University,Canada,19.1,19.1,23.7,100,73.4,61.8,35.4,免费评估
281,印度理工学院克勒格布尔分校Indian Institute of Technology Kharagpur (IIT-KGP),India,26.6,41.1,21.6,5.3,1,78.4,35.2,免费评估
281,渥太华大学University of Ottawa,Canada,25.2,37.2,7.6,91.3,56.7,62.0,35.2,免费评估
281,沙特阿拉伯国王大学King Saud University,Saudi Arab,28.3,16.8,69.0,91.5,11.3,15.9,35.2,免费评估
284,鲍曼莫斯科国立技术大学Bauman Moscow State Technical University,Russia,21.0,53.4,100.0,8.5,12.4,1.2,35.1,免费评估
285,北卡罗来纳州立大学罗利分校North Carolina State University at Raleigh,United Sta,32.0,19.7,30.3,60.7,29.1,47.8,35.0,免费评估
285,庞培法布拉大学Universitat Pompeu Fabra,Spain,31.6,30.9,17.3,66.3,25.8,55.6,35.0,免费评估
287,梅西大学Massey University,New Zealan,29.1,30.7,24.3,98.6,94.8,27.7,34.9,免费评估
287,中山大学Sun Yat-sen University,China,35.3,33.2,49.7,11.4,7.6,32.2,34.9,免费评估
287,国立阳明大学National Yang Ming University,Taiwan,14.4,16.9,99.9,5.8,7.8,33.2,34.9,免费评估
287,图尔库大学University of Turku,Finland,26.1,41.4,60.0,27.2,5.7,32.9,34.9,免费评估
291,布拉格查理大学Charles University,Czech Repu,41.6,37.5,43.2,19.4,46.6,11.7,34.8,免费评估
291,伦敦大学皇家霍洛威学院Royal Holloway University of London,United Kin,18.6,12.4,26.8,98,95.2,55.0,34.8,免费评估
291,塔斯马尼亚大学University of Tasmania,Australia,21.0,10.1,21.1,90.8,96.2,58.6,34.8,免费评估
291,印度理工学院坎普尔分校Indian Institute of Technology Kanpur (IITK),India,29.9,32.4,14.1,1.9,1.3,82.3,34.8,免费评估
291,法兰克福大学Universit?t Frankfurt am Main,Germany,49.9,36.8,23.7,15.8,33.5,19.0,34.8,免费评估
296,斯克莱德大学University of Strathclyde,United Kin,26.1,47.5,26.4,94,75.4,28.2,34.7,免费评估
296,印度尼西亚大学Universitas Indonesia,Indonesia,39.5,47.3,43.4,94.5,5,1.9,34.7,免费评估
298,文莱大学Universiti Brunei Darussalam (UBD),Brunei,13.4,6.2,94.9,100,66.2,6.2,34.6,免费评估
298,马德里卡洛斯三世大学Universidad Carlos III de Madrid (UC3M),Spain,30.5,51.5,60.7,36.5,25.2,9.7,34.6,免费评估
300,加泰罗尼亚理工大学Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,34.7,35.2,53.1,10.4,28.8,22.1,34.5,免费评估
301,塔尔图大学University of Tartu,Estonia,23.7,21.9,82.7,27.2,23.3,17.8,34.4,免费评估
302,米兰大学University of Milan,Italy,48.4,23.3,10.7,10.8,8.3,46.8,34.3,免费评估
302,莫斯科物理技术学院Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russia,14.9,27.8,97.9,32.7,39.3,11.4,34.3,免费评估
302,邓迪大学University of Dundee,United Kin,19.1,10.2,67.2,86.5,58.3,24.2,34.3,免费评估
305,巴黎第一大学Université Paris 1 Panthéon-Sorbonne,France,58.3,48.2,5.5,21,61.2,3.6,34.2,免费评估
305,"麻省大学阿莫赫斯特分校University of Massachusetts, Amherst",United Sta,42.1,16.6,18.1,16.2,18,51.3,34.2,免费评估
307,西安交通大学Xi’an Jiaotong University,China,24.8,28.4,43.8,20.9,11.6,54.0,34.1,免费评估
308,科隆大学University of Cologne,Germany,38.2,42.9,28.6,53.2,37.7,20.4,34.0,免费评估
309,伦敦大学亚非学院SOAS University of London,United Kin,22.6,11.8,47.5,100,100,20.3,33.9,免费评估
310,考克大学University College Cork,Ireland,28.8,30.0,36.1,93,46.8,24.1,33.7,免费评估
311,格拉茨技术大学Graz University of Technology,Austria,12.8,11.2,88.4,67.1,54.5,17.4,33.6,免费评估
312,印第安纳大学伯明顿分校Indiana University Bloomington,United Sta,40.7,24.5,30.5,45.3,24.6,25.4,33.5,免费评估
312,卡尚高等师范学校Ecole Normale Supérieure de Cachan,France,15.1,8.6,91.4,29.1,31.8,25.9,33.5,免费评估
314,玛希隆大学Mahidol University,Thailand,38.9,33.2,61.4,8.9,5.9,6.7,33.4,免费评估
314,曼海姆大学Universit?t Mannheim,Germany,18.0,63.6,6.7,35.2,27.8,76.2,33.4,免费评估
314,赫瑞瓦特大学Heriot Watt University,United Kin,15.3,31.5,28.3,99.5,95.3,43.0,33.4,免费评估
314,西蒙弗雷泽大学Simon Fraser University,Canada,23.7,23.0,6.4,91.7,91.5,55.5,33.4,免费评估
314,东安格利亚大学University of East Anglia,United Kin,19.2,8.8,37.8,81.2,71.1,47.9,33.4,免费评估
319,埃尔朗根-纽伦堡大学Friedrich-Alexander-Universit?t Erlangen-Nürnberg,Germany,22.3,19.3,3.4,27.1,25.4,95.3,33.3,免费评估
320,卡渣玛达大学Gadjah Mada University,Indonesia,41.3,36.7,51.3,42.9,2.5,1.6,33.2,免费评估
320,格里菲斯大学Griffith University,Australia,27.3,23.2,13.2,98.9,41.1,51.2,33.2,免费评估
322,国立高等经济大学National Research University Higher School of Economics (HSE University),Russia,22.6,33.0,94.8,9.6,16.7,2.1,33.1,免费评估
322,光州科学技术院Gwangju Institute of Science and Technology (GIST),South Kore,11.0,3.9,36.8,10.1,7.2,100.0,33.1,免费评估
324,林雪平大学Link?ping University,Sweden,19.7,24.9,40.3,65.9,17.8,51.5,33.0,免费评估
324,奥尔堡大学Aalborg University,Denmark,17.5,32.5,44.7,69.8,30.8,43.5,33.0,免费评估
326,夏威夷大学马诺阿分校University of Hawai'i at Ma?oa,United Sta,16.6,9.3,59.0,61.4,20,46.9,32.9,免费评估
327,弗吉尼亚理工大学Virginia Polytechnic Institute and State University,United Sta,29.5,36.9,29.9,43.8,29.3,37.4,32.7,免费评估
328,"伦敦大学伯克贝克学院Birkbeck, University Of London",United Kin,14.4,5.3,22.8,96.1,96.9,60.0,32.6,免费评估
329,国家核子研究大学National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),Russia,9.8,14.7,97.6,46.2,74.1,6.7,32.4,免费评估
329,阿拉伯联合酋长国大学United Arab Emirates University,United Ara,20.4,27.2,58.1,100,48.4,11.8,32.4,免费评估
331,万隆技术研究所Bandung Institute of Technology (ITB),Indonesia,39.3,39.8,51.3,29.2,1.6,3.7,32.3,免费评估
331,台湾师范大学National Taiwan Normal University,Taiwan,28.8,11.4,70.8,15.1,49,11.0,32.3,免费评估
331,梨花女子大学Ewha Womans University,South Kore,22.4,16.5,82.7,10.5,36.9,13.3,32.3,免费评估
334,广岛大学Hiroshima University,Japan,24.1,9.7,84.1,13.8,17.1,15.4,32.2,免费评估
335,IE大学IE University,Spain,7.6,49.2,71.8,88.6,100,1.2,32.1,免费评估
336,瓦伦西亚理工大学Universitat Politècnica de València,Spain,22.8,17.7,80.8,5.8,18.8,18.3,32.0,免费评估
336,乔治·华盛顿大学George Washington University,United Sta,27.6,26.1,36.9,37.5,53,31.9,32.0,免费评估
338,里斯本大学University of Lisbon,Portugal,40.5,28.1,15.6,8,32.5,38.2,31.9,免费评估
338,雅盖隆大学Jagiellonian University,Poland,33.8,39.5,59.3,4.8,17.6,6.5,31.9,免费评估
340,耶拿大学Universit?t Jena,Germany,18.8,3.7,98.0,-,28.6,14.0,31.8,免费评估
340,纽约州立大学布法罗分校University at Buffalo SUNY,United Sta,19.1,12.5,9.1,86.2,52.2,70.4,31.8,免费评估
340,于默奥大学Umea University,Sweden,18.5,8.7,81.4,29.6,13.2,25.2,31.8,免费评估
340,乌尔姆大学University Ulm,Germany,7.8,7.0,82.9,48.8,28.2,37.2,31.8,免费评估
344,阿根廷天主教大学Pontificia Universidad Católica Argentina,Argentina,17.7,44.3,95.3,2.9,13.2,1.1,31.7,免费评估
344,西北大学范伯格医学院Northeastern University,United Sta,18.9,18.2,20.6,85.3,93.8,45.5,31.7,免费评估
346,于韦斯屈莱大学University of Jyv?skyl?,Finland,17.0,5.9,87.2,39.3,5.9,22.1,31.6,免费评估
347,明斯特大学Westf?lische Wilhelms-Universit?t Münster,Germany,34.8,31.2,42.2,25.8,9.4,20.0,31.3,免费评估
348,都灵理工大学Politecnico di Torino,Italy,32.6,51.5,3.2,3.9,30.1,53.0,31.2,免费评估
349,伦敦城市大学City University London,United Kin,15.5,19.5,11.2,95.7,98.7,54.2,31.1,免费评估
349,华沙大学University of Warsaw,Poland,40.3,47.1,38.7,9.2,12,6.8,31.1,免费评估
351,白俄罗斯国立大学Belarusian State University,Belarus,18.0,32.4,94.2,5.5,20.6,1.7,31.0,免费评估
351,格勒诺布尔大学Université Grenoble-Alpes,France,44.7,9.3,13.4,25.1,30.8,33.2,31.0,免费评估
353,波尔图大学University of Porto,Portugal,37.0,24.2,16.1,5.5,12.7,47.4,30.9,免费评估
353,犹他大学University of Utah,United Sta,16.9,8.1,61.9,25.3,12.1,45.0,30.9,免费评估
355,"布拉格化工大学University of Chemistry and Technology, Prague",Czech Repu,6.5,5.8,97.8,24.5,62.1,18.2,30.8,免费评估
356,菲律宾大学University of the Philippines,Philippine,34.2,39.5,62.0,1.8,1.5,2.1,30.7,免费评估
356,新西兰林肯大学Lincoln University,New Zealan,8.7,10.0,44.0,95.9,98.8,37.9,30.7,免费评估
358,里约联邦大学Universidade Federal do Rio de Janeiro,Brazil,53.8,19.6,21.3,7,2,11.5,30.6,免费评估
359,布鲁内尔大学Brunel University,United Kin,11.6,14.6,15.4,99.3,97.7,56.6,30.5,免费评估
359,"纽约州立大学石溪分校Stony Brook University, State University of New York",United Sta,20.9,9.6,35.3,42.9,79.1,39.7,30.5,免费评估
359,叶史瓦大学卡茨学院The Katz School at Yeshiva University,United Sta,2.6,3.3,99.3,-,11.6,42.9,30.5,免费评估
359,挪威科技大学Norwegian University of Science And Technology,Norway,30.2,26.3,30.9,70,12.8,26.9,30.5,免费评估
359,东京医科齿科大学Tokyo Medical and Dental University (TMDU),Japan,11.2,5.0,100.0,3.6,16.7,21.8,30.5,免费评估
364,乌拉尔联邦大学Ural Federal University - UrFU,Russia,17.7,14.6,94.0,15.7,34.7,2.1,30.4,免费评估
364,维多利亚大学University of Victoria (UVIC),Canada,16.0,10.7,5.9,92.4,51.1,72.2,30.4,免费评估
366,莫斯科国立国际关系学院Moscow State Institute of International Relations (MGIMO University),Russia,9.9,25.7,99.9,15.6,54.7,1.1,30.3,免费评估
367,加州大学圣克鲁兹分校niversity of California， Santa Cruz,United Sta,19.8,7.9,11.9,44.8,18.7,79.2,30.2,免费评估
368,肯特大学University of Kent,United Kin,20.3,10.4,22.6,98.2,74.5,36.7,29.8,免费评估
368,南开大学Nankai University,China,22.3,5.4,28.4,30.9,8,63.2,29.8,免费评估
370,埃塞克斯大学University of Essex,United Kin,19.3,9.0,13.2,99.7,99.4,41.9,29.7,免费评估
371,阿联酋沙迦美利坚大学American University of Sharjah,United Ara,18.3,35.1,30.2,100,100,13.4,29.6,免费评估
372,南丹麦大学University of Southern Denmark,Denmark,19.3,18.4,39.9,73.6,33,32.2,29.4,免费评估
372,阿肯色大学费耶特维尔分校University of Kansas,United Sta,15.3,15.6,82.5,14.7,14.1,18.5,29.4,免费评估
374,奥卢大学University of Oulu,Finland,16.2,21.2,45.0,43.1,9.2,44.7,29.3,免费评估
375,巴基斯坦工程与应用科学研究所Pakistan Institute of Engineering and Applied Sciences (PIEAS),Pakistan,5.4,4.6,96.4,-,-,36.2,29.2,免费评估
376,牛津布鲁克斯大学Oxford Brookes University,United Kin,26.7,57.8,15.5,61.7,72.1,13.9,29.1,免费评估
377,詹姆斯库克大学James Cook University,Australia,15.0,11.8,9.6,94,77.9,56.1,29.0,免费评估
377,康涅狄格大学University of Connecticut,United Sta,15.9,9.2,15.0,65.4,27.5,69.8,29.0,免费评估
379,卡布斯苏丹大学Sultan Qaboos University,Oman,12.1,14.8,74.5,100,7.6,11.2,28.9,免费评估
379,斯特拉斯堡大学Université de Strasbourg,France,44.3,6.7,8.2,39.5,42.7,23.4,28.9,免费评估
379,台北医学大学Taipei Medical University (TMU),Taiwan,9.6,12.3,87.0,22.1,18.8,21.6,28.9,免费评估
379,文莱理工大学Universiti Teknologi Brunei,Brunei,9.7,9.8,85.3,99.2,16.9,5.5,28.9,免费评估
383,印度理工学院鲁尔基分校Indian Institute of Technology Roorkee (IITR),India,13.7,19.6,11.7,-,3,93.8,28.8,免费评估
383,斯威本科技大学Swinburne University of Technology,Australia,14.3,20.2,19.5,98.3,91.2,38.0,28.8,免费评估
383,伦斯勒理工学院Rensselaer Polytechnic Institute,United Sta,10.1,8.5,30.2,38.2,51.9,66.1,28.8,免费评估
383,巴勒莫大学Universidad de Palermo (UP),Argentina,9.8,9.6,84.6,35.1,97.5,1.2,28.8,免费评估
387,托木斯克理工大学National Research Tomsk Polytechnic University,Russia,9.0,14.6,88.3,13.4,85,4.8,28.7,免费评估
387,澳门大学University of Macau,Macao,11.2,6.4,24.3,100,96.2,43.9,28.7,免费评估
389,特伦托大学University of Trento,Italy,25.3,11.7,16.2,30.6,6.7,60.7,28.6,免费评估
389,特罗姆瑟大学University of Troms? The Arctic University of Norway,Norway,13.6,2.8,81.8,69.6,10.3,12.1,28.6,免费评估
389,比萨大学University of Pisa,Italy,40.7,19.8,11.4,6.8,5.5,36.6,28.6,免费评估
392,俄罗斯人民友谊大学RUDN University,Russia,10.7,19.1,83.5,10.7,93.7,1.5,28.5,免费评估
392,喀山国立大学Kazan (Volga region) Federal University,Russia,18.2,8.0,82.3,9.7,53.1,3.5,28.5,免费评估
392,"丹佛大学University of Colorado, Denver",United Sta,8.7,8.7,100.0,5,12.3,15.9,28.5,免费评估
395,神户大学Kobe University,Japan,24.6,27.4,58.3,10.2,9,15.4,28.4,免费评估
395,开罗美国大学The American University in Cairo,Egypt,24.6,37.4,43.7,93.9,3.8,5.7,28.4,免费评估
395,坦佩雷大学Tampere University,Finland,24.8,30.7,29.0,29.2,8.6,38.1,28.4,免费评估
398,维克森林大学Wake Forest University,United Sta,5.9,7.8,100.0,7.4,16.2,19.6,28.3,免费评估
398,圣加仑大学University of St.Gallen (HSG),Switzerlan,9.7,66.4,8.1,100,93.5,31.8,28.3,免费评估
400,拉筹伯大学La Trobe University,Australia,19.8,22.0,8.4,97.7,95.9,33.2,28.2,免费评估
400,奥斯特拉尔大学Universidad Austral,Argentina,15.6,36.9,84.4,6.1,12.2,1.9,28.2,免费评估
400,华盛顿州立大学Washington State University,United Sta,28.4,23.4,18.5,62,10.6,35.6,28.2,免费评估
400,华中科技大学Huazhong University of Science and Technology,China,19.2,23.4,17.3,12.7,6.6,68.1,28.2,免费评估
400,巴基斯坦国立科技大学National University of Sciences And Technology (NUST) Islamabad,Pakistan,16.4,39.4,76.6,3.7,5.4,9.2,28.2,免费评估
400,威特沃特斯兰德大学University of Witwatersrand,South Afri,24.9,36.9,11.7,83.5,10,37.4,28.2,免费评估
406,科英布拉大学University of Coimbra,Portugal,30.1,13.1,19.0,12.4,57.2,37.1,28.1,免费评估
407,韩国外国语大学HUFS - Hankuk (Korea) University of Foreign Studies,South Kore,12.2,20.1,82.7,40.3,40.9,2.2,28.0,免费评估
407,"田纳西大学The University of Tennessee, Knoxville",United Sta,12.1,28.1,19.3,5.7,4.5,79.3,28.0,免费评估
407,謝里夫理工大學Sharif University of Technology,"Iran, Isla",11.8,23.7,14.2,5.2,2,88.3,28.0,免费评估
410,国立中山大学National Sun Yat-sen University,Taiwan,24.7,19.4,36.5,15.6,8.6,37.6,27.9,免费评估
410,美因茨大学Johannes Gutenberg Universit?t Mainz,Germany,21.8,11.1,54.7,34.5,22.8,20.9,27.9,免费评估
412,林茲大学Johannes Kepler University Linz,Austria,11.2,29.1,52.0,77.4,20.6,25.2,27.8,免费评估
412,蒂尔堡大学Tilburg University,Netherland,15.0,24.1,12.4,84.2,38.7,53.3,27.8,免费评估
412,中央大学Chung-Ang University (CAU),South Kore,14.1,21.1,77.3,16.5,29.6,11.0,27.8,免费评估
412,上海大学Shanghai University,China,25.0,6.4,54.9,46.3,5.2,17.6,27.8,免费评估
416,拉瓦尔大学Université Laval,Canada,21.3,21.3,30.7,69.1,28.7,29.6,27.7,免费评估
417,伦敦大学金史密斯学院Goldsmiths University of London,United Kin,20.5,7.9,20.3,86.6,95.7,26.5,27.6,免费评估
418,列·尼·古米列夫欧亚国立大学L.N. Gumilyov Eurasian National University (ENU),Kazakhstan,12.9,14.8,93.0,32.3,6.1,1.4,27.5,免费评估
419,内盖夫本-古里安大学Ben Gurion University of The Negev,Israel,16.4,19.1,18.2,70.1,21.3,53.3,27.4,免费评估
419,杜兰大学Tulane University of Louisiana,United Sta,10.6,5.1,85.7,17.6,22.1,17.2,27.4,免费评估
421,伊利诺理工学院Illinois Institute of Technology,United Sta,17.0,7.4,16.1,23.1,100,51.7,27.3,免费评估
421,爱荷华大学University of Iowa,United Sta,22.4,13.0,43.2,16.9,17,32.9,27.3,免费评估
421,新里斯本大学Universidade Nova de Lisboa,Portugal,26.9,27.8,28.2,26.7,43.8,22.4,27.3,免费评估
424,那不勒斯费德里克二世大学University of Naples - Federico II,Italy,31.6,15.4,6.0,3.1,1.1,57.4,27.2,免费评估
424,弗林德斯大学Flinders University,Australia,14.3,8.8,8.6,91.4,88.1,48.9,27.2,免费评估
424,康斯坦茨大学Universit?t Konstanz,Germany,24.2,8.5,37.6,56.7,27.5,24.2,27.2,免费评估
427,国立中央大学National Central University,Taiwan,23.0,19.5,32.8,20.7,20.3,36.3,27.1,免费评估
427,斯泰伦博斯大学Stellenbosch University,South Afri,25.9,31.0,4.5,38.2,11.6,50.6,27.1,免费评估
429,都柏林城市大学Dublin City University,Ireland,16.8,25.9,39.1,79.6,51,16.2,27.0,免费评估
429,烈日大学Université de Liège,Belgium,18.5,25.5,25.3,45.9,57.8,33.5,27.0,免费评估
429,天津大学Tianjin University,China,17.9,3.5,21.5,9,6.2,71.6,27.0,免费评估
432,波鸿鲁尔大学Ruhr-Universit?t Bochum,Germany,22.8,16.7,2.5,34.3,33.8,59.6,26.7,免费评估
432,萨拉戈萨大学Universidad de Zaragoza,Spain,19.2,9.9,74.8,4.8,6.1,12.0,26.7,免费评估
432,波士顿学院Boston College,United Sta,22.9,21.1,37.5,43.6,19.5,23.6,26.7,免费评估
435,马德里理工大学Universidad Politécnica de Madrid,Spain,27.6,61.2,23.9,3.7,34.8,12.7,26.5,免费评估
436,圣光机大学ITMO University,Russia,9.8,13.7,83.3,18.3,44.1,6.3,26.4,免费评估
436,北京理工大学Beijing Institute of Technology,China,20.9,7.0,35.1,5,8.1,47.9,26.4,免费评估
438,贝尔格拉诺大学Universidad de Belgrano,Argentina,7.7,19.0,89.2,6.9,55.8,1.1,26.3,免费评估
439,圣彼得堡国立技术大学Peter the Great Saint-Petersburg Polytechnic University,Russia,10.5,10.5,77.2,16.8,78.1,3.3,26.2,免费评估
439,沙斯卡曲湾大学University of Saskatchewan,Canada,11.5,10.2,31.3,73.5,53.6,39.3,26.2,免费评估
439,圣保罗联邦大学Universidade Federal de S?o Paulo,Brazil,11.7,5.1,93.0,5.5,1.8,10.0,26.2,免费评估
442,奥克兰理工大学Auckland University of Technology (AUT),New Zealan,19.6,25.9,14.7,99.5,100,12.8,26.0,免费评估
442,千叶大学Chiba University,Japan,14.6,4.9,79.8,8.5,6.1,14.7,26.0,免费评估
442,思特雅大学UCSI University,Malaysia,10.0,35.1,57.6,41.7,81.1,3.6,26.0,免费评估
442,阿斯顿大学Aston University,United Kin,10.9,41.9,13.2,97.3,54.4,35.7,26.0,免费评估
442,邦德大学Bond University,Australia,4.1,8.4,47.3,98.6,99.1,20.3,26.0,免费评估
442,科罗拉多州立大学Colorado State University (CSU),United Sta,18.2,20.8,46.0,30.9,8.5,26.7,26.0,免费评估
448,一桥大学Hitotsubashi University,Japan,21.2,66.8,35.9,29.2,21.5,4.3,25.8,免费评估
448,佛罗里达州立大学Florida State University,United Sta,26.9,43.3,12.0,17.8,5.7,35.4,25.8,免费评估
448,佛罗伦萨大学University of Florence,Italy,34.2,6.2,10.6,8.5,20.3,39.2,25.8,免费评估
451,科奇大学Ko? University,Turkey,16.3,31.4,49.8,39.9,6.7,18.4,25.7,免费评估
451,厦门大学Xiamen University,China,26.1,4.0,26.5,7.6,4.5,44.1,25.7,免费评估
451,莫斯科国立钢铁合金学院The National University of Science and Technology MISIS,Russia,9.3,16.5,74.1,11,68.1,7.3,25.7,免费评估
454,雅典国立技术大学National Technical University of Athens,Greece,18.7,45.0,9.0,1.6,7.3,56.3,25.6,免费评估
454,加州大学河滨分校University of California-Riverside,United Sta,16.9,12.4,16.6,44.8,9.9,57.3,25.6,免费评估
454,东国大学Dongguk University,South Kore,10.4,7.0,82.0,14.4,35.1,9.1,25.6,免费评估
454,西江大学Sogang University,South Kore,18.6,34.1,51.9,11.8,21,13.0,25.6,免费评估
458,维尔纽斯大学Vilnius University,Lithuania,18.6,22.9,69.5,9.2,6.1,5.2,25.5,免费评估
458,帕多瓦大学University of Bordeaux,France,32.7,5.7,28.9,51.4,41.6,6.5,25.5,免费评估
460,"马里兰巴尔的摩大学University of Maryland, Baltimore County",United Sta,10.3,5.4,12.6,14.9,13.3,83.7,25.4,免费评估
461,俄勒冈州立大学Oregon State University,United Sta,17.9,7.9,29.6,56.3,21,37.6,25.3,免费评估
462,康考迪亚大学Concordia University,Canada,15.3,36.2,5.4,84.4,89.6,28.0,25.2,免费评估
462,斯旺西大学Swansea University,United Kin,12.9,12.9,33.8,73.9,61,25.9,25.2,免费评估
462,北京科技大学University of Science and Technology Beijing,China,19.2,5.0,17.0,4.5,4.1,65.6,25.2,免费评估
462,北京航空航天大学Beihang University (former BUAA),China,15.5,6.0,31.8,10.1,6.2,55.8,25.2,免费评估
462,维尔茨堡大学Julius-Maximilians-Universit?t Würzburg,Germany,15.8,6.0,10.0,47.9,12.7,66.0,25.2,免费评估
462,韩国天主教大学The Catholic University of Korea,South Kore,4.7,1.9,96.5,3.2,4.3,17.1,25.2,免费评估
468,波哥大哥伦比亚Pontificia Universidad Javeriana,Colombia,34.0,70.6,17.0,6.5,2,2.5,25.1,免费评估
468,萨尔大学Universit?t des Saarlandes,Germany,11.9,5.8,57.9,40.8,47.3,18.4,25.1,免费评估
468,横浜市立大学Yokohama City University,Japan,6.0,2.4,99.9,4.6,2.6,10.0,25.1,免费评估
468,布兰迪斯大学Brandeis University,United Sta,11.7,11.0,41.2,29.6,80.9,27.3,25.1,免费评估
468,山东大学Shandong University,China,16.4,10.4,27.5,9.3,5.5,55.7,25.1,免费评估
468,西悉尼大学Western Sydney University,Australia,18.3,25.9,8.7,100,55.1,28.3,25.1,免费评估
474,佐治亚大学The University of Georgia,United Sta,24.5,26.3,16.1,32.1,6.6,36.6,25.0,免费评估
